 Digikey,Reference, Quantity
1189-3626-ND,C21 C24 C25 C30 C31 C43 ,6
1276-1043-1-ND,C3 C4 C8 C11 C14 C17 C20 C22 C23 C26 C27 C28 C32 C33 C34 C40 C41 C44 ,18
1276-1244-1-ND,C1 C2 C5 C29 C35 C36 C38 C42 ,8
1276-2909-1-ND,C37 C39 ,2
1460-1296-ND,W4 W5 W6 W7 ,4
1516-QBL7IW60D-CW-ND,D2 D3 D4 D5 D6 D7 ,6
1528-4336-ND,W1 W2 W3 ,3
160-1183-1-ND,D15 D17 ,2
160-1445-1-ND,D1 D10 ,2
160-1447-1-ND,D13 ,1
160-1647-1-ND,D16 ,1
1727-4044-1-ND,Q2 ,1
1837-1027-ND,CON1 ,1
1965-ESP32-WROOM-32UE(4MB)CT-ND,U9 ,1
24LC02BT/SNCT-ND,U4 ,1
311-1677-1-ND,C6 C7 C9 C10 C12 C13 C15 C16 ,8
311-270JRCT-ND,R3 R4 R5 R6 R7 R8 R16 R17 R24 R25 R26 R33 ,12
336-2138-5-ND,U1 ,1
336-4156-1-ND,U6 ,1
455-1720-ND,J1 J2 J9 ,3
455-1722-ND,J10 J11 J12 J13 ,4
478-11758-1-ND,C18 C19 ,2
490-1054-1-ND,FB1 FB2 FB3 FB4 FB5 FB6 FB7 FB8 FB9 FB10 ,10
553-1471-ND,ANT1 ,1
576-2138-ND,U5 ,1
A26483-ND,U10 ,1
AP2114HA-3.3TRG1DICT-ND,U8 ,1
CH160-ND,SW1 SW2 SW3 SW4 SW5 SW6 ,6
CKN12330-1-ND,SW11 SW12 ,2
CP-102AH-ND,J8 ,1
CPH3356-TL-WOSCT-ND,Q1 Q3 ,2
CY7C65632-28LTXC-ND,U3 ,1
DDZ5V6BSF-7DICT-ND,D12 ,1
DMP1005UFDF-7DICT-ND,U7 ,1
DT1240A-08LP3810-7DICT-ND,D9 ,1
ED2982-ND,J3 ,1
F2715CT-ND,D8 ,1
MCP23017-E/SO,U2 ,1
NHD-3.12-25664UCW2,OLED1 ,1
PEC11R-4220F-S0012-ND,SW7 SW8 SW9 SW10 ,4
PTA4553-2210CIB103-ND,RV1 RV2 RV3 ,3
RMCF0402FT100KCT-ND,R2 R10 R15 ,3
RMCF0402FT10K0CT-ND,R1 R9 R12 R13 R20 R29 R31 R32 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R45 R46 R47 R48 R49 R51 R52 R53 R54 R55 R57 R58 R59 R60 R61 R63 R64 R65 R66 R67 ,38
RMCF0402FT1K00CT-ND,R22 R44 R50 R56 R62 ,5
RMCF0402FT47K5CT-ND,R18 R19 R73 ,3
RMCF0402FT4K70CT-ND,R23 R71 R72 ,3
RMCF0402FT510KCT-ND,R21 ,1
RMCF0402ZT0R00CT-ND,R27 R28 R69 R70 R74 ,5
S4SCT-ND,D14 ,1
WM14667-ND,J4 J7 ,2
XC2710CT-ND,Y2 ,1
YAG5682CT-ND,R11 ,1
